allianceColor,ampsFailedAuton,ampsFailedTeleop,ampsScoredAuton,ampsScoredTeleop,defenseBot,disabledDamagedBot,groundAuton,groundTeleop,harmony,matchNumber,nonFunctionalBot,notes,onstage,scoutName,sourceTeleop,speakersFailedAuton,speakersFailedTeleop,speakersScoredAuton,speakersScoredTeleop,spotlight,teamNumber,trap
"red",2,2,2,3,"Yes","No",5,4,"No","1","No","average team","Yes","Erica",2,0,1,2,1,"Yes","649","No"
"blue",1,1,3,2,"No","Yes",6,6,"Yes","2","No","great team","No","Liam",1,1,0,3,0,"No","649","No"
"red",2,0,1,4,"Yes","No",4,5,"No","3","Yes","poor team","Yes","Olivia",1,1,2,2,1,"Yes","649","No"
"blue",0,1,2,3,"No","No",5,6,"Yes","4","No","good team","No","Ethan",2,0,0,3,0,"No","254",""
"red",1,2,1,2,"Yes","Yes",6,5,"No","5","Yes","average team","Yes","Sophia",1,2,1,2,1,"Yes","254","No"
"blue",2,1,2,3,"No","No",5,4,"Yes","6","No","great team","No","Lucas",2,0,0,3,0,"No","254","No"
"red",1,0,3,4,"Yes","No",4,6,"No","7","No","poor team","Yes","Isabella",1,1,2,2,1,"Yes","7","No"
"blue",0,2,2,2,"No","Yes",6,5,"Yes","8","Yes","good team","No","Noah",2,0,1,3,0,"No","8","No"
"red",2,1,1,3,"Yes","No",5,6,"No","9","No","average team","Yes","Ava",1,2,1,2,1,"Yes","9","No"
"blue",1,0,3,4,"No","No",6,4,"Yes","10","No","great team","No","William",2,0,0,3,0,"No","10","No"
"red",0,2,2,3,"Yes","Yes",4,6,"No","11","Yes","poor team","Yes","Mia",1,1,2,2,1,"Yes","11","No"
"blue",1,1,2,2,"No","No",5,5,"Yes","12","No","good team","No","Benjamin",1,0,1,3,0,"No","12","No"
"red",2,0,1,4,"Yes","No",6,6,"No","13","No","average team","Yes","Emma",2,1,1,2,1,"Yes","13","No"
"blue",1,2,2,2,"No","Yes","7","5","Yes","14","Yes","great team","No","Alexander",2,0,0,3,0,"No","14","No"
"red",0,1,3,3,"Yes","No","4","6","No","15","No","poor team","Yes","Abigail",1,2,2,2,1,"Yes","15","No"
"blue",2,0,2,4,"No","No","5","4","Yes","16","No","good team","No","Daniel",2,0,1,3,0,"No","16","No"
"red",1,2,1,3,"Yes","Yes","6","6","No","17","Yes","average team","Yes","Isabella",1,1,1,2,1,"Yes","17","No"
"blue",0,1,3,2,"No","No","7","5","Yes","18","No","great team","No","Jacob",2,0,0,3,0,"No","18","No"
"red",2,0,2,4,"Yes","No","4","6","No","19","No","poor team","Yes","Sophia",1,1,2,2,1,"Yes","19","No"
"blue",1,2,2,2,"No","Yes","5","4","Yes","20","Yes","good team","No","William",1,0,1,3,0,"No","20","No"
"red",0,1,3,3,"Yes","No","6","6","No","21","No","average team","Yes","Liam",2,2,1,2,1,"Yes","21","No"
"blue",2,0,2,4,"No","No","7","5","Yes","22","No","great team","No","Emma",2,0,0,3,0,"No","22","No"
"red",1,2,1,2,"Yes","No","4","6","No","23","Yes","poor team","Yes","Michael",1,1,2,2,1,"Yes","23","No"
"blue",0,1,3,3,"No","Yes","5","4","Yes","24","No","good team","No","Olivia",2,0,1,3,0,"No","24","No"
"red",2,0,2,4,"Yes","No","6","6","No","25","No","average team","Yes","Jacob",1,1,1,2,1,"Yes","25","No"
"blue",1,2,2,2,"No","No","7","5","Yes","26","Yes","great team","No","Abigail",2,0,0,3,0,"No","26","No"
"red",0,1,3,3,"Yes","No","4","6","No","27","No","poor team","Yes","Alexander",1,2,2,2,1,"Yes","27","No"
"blue",2,0,2,4,"No","Yes","5","4","Yes","28","No","good team","No","Ethan",2,0,1,3,0,"No","28","No"
"red",1,2,1,2,"Yes","No","6","6","No","29","No","average team","Yes","Mia",1,1,1,2,1,"Yes","29","No"
"blue",0,1,3,3,"No","No","7","5","Yes","30","Yes","great team","No","Benjamin",2,0,0,3,0,"No","30","No"
"red",2,0,2,4,"Yes","No","4","6","No","31","No","poor team","Yes","Noah",1,1,2,2,1,"Yes","31","No"
"blue",1,2,2,2,"No","Yes","5","4","Yes","32","No","good team","No","Isabella",2,0,1,3,0,"No","32","No"
"red",0,1,3,3,"Yes","No","6","6","No","33","Yes","average team","Yes","Michael",1,2,1,2,1,"Yes","33","No"
"blue",2,0,2,4,"No","No","7","5","Yes","34","No","great team","No","Sophia",2,0,0,3,0,"No","34","No"
"red",1,2,1,2,"Yes","No","4","6","No","35","No","poor team","Yes","Liam",1,1,2,2,1,"Yes","35","No"
"blue",0,1,3,3,"No","Yes","5","4","Yes","36","Yes","good team","No","Emma",2,0,1,3,0,"No","36","No"
"red",2,0,2,4,"Yes","No","6","6","No","37","No","average team","Yes","Olivia",1,1,1,2,1,"Yes","37","No"
"blue",1,2,2,2,"No","No","7","5","Yes","38","No","great team","No","Jacob",2,0,0,3,0,"No","38","No"
"red",0,1,3,3,"Yes","No","4","6","No","39","Yes","poor team","Yes","Abigail",1,2,2,2,1,"Yes","39","No"
"blue",2,0,2,4,"No","Yes","5","4","Yes","40","No","good team","No","Alexander",2,0,1,3,0,"No","40","No"
"red",1,2,1,2,"Yes","No","6","6","No","41","No","average team","Yes","Ethan",1,1,1,2,1,"Yes","41","No"
"blue",0,1,3,3,"No","No","7","5","Yes","42","Yes","great team","No","Mia",2,0,0,3,0,"No","42","No"
"red",2,0,2,4,"Yes","No","4","6","No","43","No","poor team","Yes","Noah",1,1,2,2,1,"Yes","43","No"
"blue",1,2,2,2,"No","Yes","5","4","Yes","44","No","good team","No","Isabella",2,0,1,3,0,"No","44","No"
"red",0,1,3,3,"Yes","No","6","6","No","45","No","average team","Yes","Michael",1,2,1,2,1,"Yes","45","No"
"blue",2,0,2,4,"No","No","7","5","Yes","46","Yes","great team","No","Sophia",2,0,0,3,0,"No","46","No"
"red",1,2,1,2,"Yes","No","4","6","No","47","No","poor team","Yes","Liam",1,1,2,2,1,"Yes","47","No"
"blue",0,1,3,3,"No","Yes","5","4","Yes","48","No","good team","No","Emma",2,0,1,3,0,"No","48","No"
"red",2,0,2,4,"Yes","No","6","6","No","49","Yes","average team","Yes","Olivia",1,1,1,2,1,"Yes","49","No"
"blue",1,2,2,2,"No","No","7","5","Yes","50","No","great team","No","Jacob",2,0,0,3,0,"No","50","No"
"red",0,1,3,3,"Yes","No","4","6","No","51","No","poor team","Yes","Abigail",1,2,2,2,1,"Yes","51","No"
"blue",2,0,2,4,"No","Yes","5","4","Yes","52","Yes","good team","No","Alexander",2,0,1,3,0,"No","52","No"
"red",1,2,1,2,"Yes","No","6","6","No","53","No","average team","Yes","Ethan",1,1,1,2,1,"Yes","53","No"
"blue",0,1,3,3,"No","No","7","5","Yes","54","No","great team","No","Mia",2,0,0,3,0,"No","54","No"
"red",2,0,2,4,"Yes","No","4","6","No","55","Yes","poor team","Yes","Noah",1,1,2,2,1,"Yes","55","No"
"blue",1,2,2,2,"No","Yes","5","4","Yes","56","No","good team","No","Isabella",2,0,1,3,0,"No","56","No"
"red",0,1,3,3,"Yes","No","6","6","No","57","No","average team","Yes","Michael",1,2,1,2,1,"Yes","57","No"
"blue",2,0,2,4,"No","No","7","5","Yes","58","Yes","great team","No","Sophia",2,0,0,3,0,"No","58","No"
"red",1,2,1,2,"Yes","No","4","6","No","59","No","poor team","Yes","Liam",1,1,2,2,1,"Yes","59","No"
"blue",0,1,3,3,"No","Yes","5","4","Yes","60","No","good team","No","Emma",2,0,1,3,0,"No","60","No"